Name,Url,Authority,Started On,Finished On,License Number
Introduction to Project Management,https://www.coursera.org/account/accomplishments/certificate/RGMG2S6FX4ED,Coursera,Apr 2020,,RGMG2S6FX4ED
Lean Six Sigma White Belt Certification,,Aveta Business Institute,Jan 2022,,CUCpKbgnqa
Analyzing and Visualizing Data with Microsoft Power BI,,Udemy,Feb 2022,,
Artificial Intelligence on Cloud Computing ,,Great Learning,Feb 2023,,
TATA iQ Data Visualisation Virtual Programme: Empowering Business with Effective Insights,,Forage,Aug 2023,,XcqsCWgLEMrnZGtpW
Business Analysis Foundations,https://www.linkedin.com/learning/certificates/806e4875d7c4ae893bb1fbeac3c5ad779628b0d1334117d5fe93bb8a02163100,LinkedIn,Aug 2023,,
